No.,Tweet ID
227,[['1351419208639373315']]
228,[['1351862592537567232']]
229,[['1350832798651863042']]
230,[['1351580453258584065']]
231,[['1350422438492958724']]
232,[['1451162903973974021']]
233,[['1389861562584870913']]
234,[['1451647816552501253']]
235,[['1390015139160760324']]
236,[['1450392589425905666']]
237,[['1350027824980221952']]
238,[['1452565414488182789']]
239,[['1350096124519075848']]
240,[['1451577223891218438']]
241,[['1390347419766992896']]
242,[['1390607632084447233']]
243,[['1450753541526757377']]
244,[['1351175641891295233']]
245,[['1350449933787258882']]
246,[['1390102735463256065']]
247,[['1391834013678112770']]
248,[['1390107010306383872']]
249,[['1390449879755993091']]
250,[['1389524700112592896']]
251,[['1351273893244379141']]
252,[['1350321927060127748']]
253,[['1350468928045252617']]
254,[['1450908535542501377']]
255,[['1351788033738235904']]
256,[['1389792786459860992']]
257,[['1390094245097316354']]
258,[['1350830051638575104']]
259,[['1352239404249706496']]
260,[['1350420189607768066']]
261,[['1350095934739378181']]
262,[['1350717365156253697']]
263,[['1351063287639789568']]
264,[['1451280017984397312']]
265,[['1450561467359666176']]
266,[['1349894262318632963']]
267,[['1390024686361358341']]
268,[['1352400922362703873']]
269,[['1350126865982361601']]
270,[['1450857781259644930']]
271,[['1352378522942267395']]
272,[['1390626328018309129']]
273,[['1350121921078308864']]
274,[['1352244816281792514']]
275,[['1450316202606309377']]
276,[['1452171851212410880']]
277,[['1350797257113796608']]
278,[['1452301949836177412']]
279,[['1350394224093646848']]
280,[['1450881779745837062']]
281,[['1391355322028146690']]
282,[['1351588370204524545']]
283,[['1451838992039780352']]
284,[['1450367924468862979']]
285,[['1350093561342140421']]
286,[['1389612533099630599']]
287,[['1391741290967191560']]
288,[['1351655936625045504']]
289,[['1450817251440005133']]
290,[['1351234147998715910']]
291,[['1451279156784812038']]
292,[['1450336321969459202']]
293,[['1352260935398944772']]
294,[['1451869024690782215']]
295,[['1452205252191600645']]
296,[['1351240261481996298']]
297,[['1451535692883013632']]
298,[['1450334475792134146']]
299,[['1391755539474960394']]
300,[['1389889907078860802']]
301,[['1351553330598866945']]
302,[['1452278333601980434']]
303,[['1390701999759544320']]
304,[['1450513965570740229']]
305,[['1391760947031777280']]
306,[['1451274096965210113']]
307,[['1389898055680466947']]
308,[['1350202304964812801']]
309,[['1450529384318767108']]
310,[['1389949510768631811']]
311,[['1350508948995133453']]
312,[['1452375748153651217']]
313,[['1351279198455914498']]
314,[['1351894997835132934']]
315,[['1391789662742659078']]
316,[['1451177517000364034']]
317,[['1389586226215329792']]
318,[['1350360665043709954']]
319,[['1350394527530569730']]
320,[['1390003343863566338']]
321,[['1391762935953907713']]
322,[['1391779139003297793']]
323,[['1451827735727312901']]
324,[['1351222304521510913']]
325,[['1351215409643585536']]
326,[['1350459020449087492']]
327,[['1452036928786898952']]
328,[['1452688872522010627']]
329,[['1351504680904519688']]
330,[['1351554742460313602']]
331,[['1452527173290631169']]
332,[['1450700505118826504']]
333,[['1451982701247057926']]
334,[['1351565078689177600']]
335,[['1390613320806420484']]
336,[['1352288992155365376']]
337,[['1351935809696526338']]
338,[['1451162154372042754']]
339,[['1350154454063075330']]
340,[['1350482584057352199']]
341,[['1352371690794332161']]
342,[['1391765222654885898']]
343,[['1451061486638534656']]
344,[['1451124244025430016']]
345,[['1350526828956557312']]
346,[['1451457903249051669']]
347,[['1350073166966697984']]
348,[['1351964600850391043']]
349,[['1451865490595454981']]
350,[['1242882184287002626']]
351,[['1352341067199344641']]
352,[['1350190293862248454']]
353,[['1450916374453366790']]
354,[['1390682717575069701']]
355,[['1390607221860544512']]
356,[['1389739502915268614']]
357,[['1451257131743711235']]
358,[['1350737037293457408']]
359,[['1450520256380903429']]
360,[['1351530988871024643']]
361,[['1390427072066211840']]
362,[['1350099169571205122']]
363,[['1351091113797562370']]
364,[['1451857977896484866']]
365,[['1390009369035739136']]
366,[['1350070747268481026']]
367,[['1351460786074509319']]
368,[['1350480573983318021']]
369,[['1452278435397648389']]
370,[['1351845629765558277']]
371,[['1390360361535082498']]
372,[['1390568635526156289']]
373,[['1350764823445954562']]
374,[['1451547935116771333']]
375,[['1450401341575028736']]
376,[['1350429463029440513']]
377,[['1451276115612364828']]
378,[['1391756454781202439']]
379,[['1351177373123825670']]
380,[['1350887406602493953']]
381,[['1241965398318133250']]
382,[['1451143211230056450']]
383,[['1391412926850994178']]
384,[['1351565078596907011']]
385,[['1390429363334754304']]
386,[['1391405071334879232']]
387,[['1350484097995591681']]
388,[['1451486018062913559']]
389,[['1350167766297317376']]
390,[['1452677137064935438']]
391,[['1450761213814652937']]
392,[['1451491651227095040']]
393,[['1390546331731648512']]
394,[['1451463101593886724']]
395,[['1450435931270483968']]
396,[['1450415950843498500']]
397,[['1352355140779565058']]
398,[['1450361632316698626']]
399,[['1391794237558116357']]
400,[['1350153102398279684']]
401,[['1350044079145570304']]
402,[['1451781198573936640']]
403,[['1351562052796604422']]
404,[['1390945307534450691']]
405,[['1391308796400648196']]
406,[['1351494522811916289']]
407,[['1350384816190070786']]
408,[['1352175566573756417']]
409,[['1352213099336540162']]
410,[['1389905180653723653']]
411,[['1243092053636063232']]
412,[['1390019995812368393']]
413,[['1450581835071774723']]
414,[['1349955397772341248']]
415,[['1452200286823530499']]
416,[['1450500817333653504']]
417,[['1391234496406634504']]
418,[['1350479605174562819']]
419,[['1350171873984851968']]
420,[['1350917503120273409']]
421,[['1450703938202787842']]
422,[['1350809093670318080']]
423,[['1390092844409540608']]
424,[['1452465151844757506']]
425,[['1350530222228201474']]
426,[['1452563532277501955']]
427,[['1451541991267909635']]
428,[['1352289281931411459']]
429,[['1452467214393790471']]
430,[['1450774302605840386']]
431,[['1391469368698081287']]
432,[['1350138450931019778']]
433,[['1390679154417410056']]
434,[['1452315709200027651']]
435,[['1452211139950129154']]
436,[['1389430036231593984']]
437,[['1391770796029267969']]
438,[['1351598920376442881']]
439,[['1451578561723342862']]
440,[['1450377936125763584']]
441,[['1389554798802964481']]
442,[['1450326488461369346']]
443,[['1350160596801613826']]
444,[['1351079443603845121']]
445,[['1390289891670388736']]
446,[['1450733122979614723']]
447,[['1349997602679484419']]
448,[['1450502467679096837']]
449,[['1390261575441731591']]
450,[['1389499562247741440']]
451,[['1390600769750110208']]
452,[['1450727948445704197']]
453,[['1390277634651734021']]
454,[['1391490639100092416']]
455,[['1350737882961616896']]
456,[['1389921997098991618']]
457,[['1451249964928151552']]
458,[['1350445972413952000']]
459,[['1352132838418743299']]
460,[['1452576362217234438']]
461,[['1350363466360631297']]
462,[['1390334504271814661']]
463,[['1352339859726364674']]
464,[['1451428295325663235']]
465,[['1350087846367924224']]
466,[['1389848510279913477']]
467,[['1351242655821389828']]
468,[['1390625872844046340']]
469,[['1451081819714097155']]
470,[['1352175502308601856']]
471,[['1389741352527835136']]
472,[['1349998643177160704']]
473,[['1389518778602594306']]
474,[['1450709562126999553']]
475,[['1350687510725341184']]
476,[['1450900836507426825']]
477,[['1352350067890511876']]
478,[['1451540357875789825']]
479,[['1351916784484401152']]
480,[['1391289854781239296']]
481,[['1350001169364561920']]
482,[['1390050106943188995']]
483,[['1389601266968449029']]
484,[['1350752718445555713']]
485,[['1352287283324579842']]
486,[['1350019654190845957']]
487,[['1352292371602485248']]
488,[['1450508393664421889']]
489,[['1450688581174022150']]
490,[['1351208982245908480']]
491,[['1351778601780334592']]
492,[['1390384024082845697']]
493,[['1350365981999329283']]
494,[['1390569865824641026']]
495,[['1452215724940972040']]
496,[['1390200911998459904']]
497,[['1451217970034880514']]
498,[['1390334983605301249']]
499,[['1452234403724382208']]
500,[['1389879256046571520']]
501,[['1389565999800897544']]
502,[['1390774827229851651']]
503,[['1450784367358394371']]
504,[['1450701813448167425']]
505,[['1241271820503912449']]
506,[['1351864315763187714']]
507,[['1450511942855139330']]
508,[['1450775568824389634']]
509,[['1390198787507953668']]
510,[['1352218166412386305']]
511,[['1452563881746997260']]
512,[['1350096160925605890']]
513,[['1391701836202131457']]
514,[['1451867326584872960']]
515,[['1352231098282110976']]
516,[['1390939030746025986']]
517,[['1351215023310467075']]
518,[['1350470118300655619']]
519,[['1351821255901650944']]
520,[['1350444241403654146']]
521,[['1350748131554689024']]
522,[['1451595191530532870']]
523,[['1351826996263858178']]
524,[['1390578777772679170']]
525,[['1351438503549296640']]
526,[['1389896186426011653']]
527,[['1350722509658849280']]
528,[['1451508686871011328']]
529,[['1350147441685897216']]
530,[['1350382384022228995']]
531,[['1350033965105754113']]
532,[['1390332913925898243']]
533,[['1390035008254062596']]
534,[['1391239958724218886']]
535,[['1351844762677104641']]
536,[['1389595678502961153']]
537,[['1350019102094602240']]
538,[['1390047334390718472']]
539,[['1451275028801232900']]
540,[['1450685224757567489']]
541,[['1450283610628661248']]
